# 18642 items found
# 100 different types


Type		Count		Amount		Avg. Amount
CarrotCrop		2		2		1.00
EtherealOstard		1		1		1.00
FactionPersistance		1		1		1.00
Fists		1		1		1.00
BedlamAltar		15		15		1.00
BagofIngotBookCovers		1		1		1.00
MiniGrapefruitCrop		1		1		1.00
RuneLibraryGraveYardsTrammel		1		1		1.00
Spellbook		16		16		1.00
SpawnPersistence		1		1		1.00
Reward		818		818		1.00
DeathMawElemental		3		3		1.00
MiniMangoCrop		1		1		1.00
TrainingElementalDeedDisplay		1		1		1.00
VoteItem		13		13		1.00
PoisonFieldScroll		11		11		1.00
Static		1		1		1.00
TinkersCraftsmanSatchel		3		3		1.00
ShrinkItemX		3		3		1.00
StealableArtifactsSpawner		1		1		1.00
LavaTile		2		2		1.00
EggCaseWeb		1		1		1.00
YellowRoseCrop		1		1		1.00
Currency		168		168		1.00
ElvenBoots		2		2		1.00
DisplayCache		1		1		1.00
AnvilSouthAddon		1		1		1.00
MonsterStatuette		56		56		1.00
FieryCannonball		1		1		1.00
Backpack		9066		9066		1.00
ElvenShirt		1		1		1.00
DecorativeGoldFuton		1		1		1.00
TanMushroomCrop		1		1		1.00
DirtPatch		1		1		1.00
DecorativeBlood		32		32		1.00
RiceCrop		2		2		1.00
AdmiralsHeartyRum		11		11		1.00
PottedTree		1		1		1.00
ChargerOfTheFallen		1		1		1.00
GoldBricks		12		12		1.00
HammerOfHephaestus		1		1		1.00
TreasuresOfTokunoPersistance		1		1		1.00
DemonSkull		1		1		1.00
PoppyCrop		1		1		1.00
FletcherCraftsmanSatchel		3		3		1.00
EthicsPersistance		1		1		1.00
Item		495		495		1.00
AdminRobe		1		1		1.00
DeathMawFeyToken		1		1		1.00
RewardBox		1		1		1.00
DeathMawDaemonToken		2		2		1.00
SwampTile		33		33		1.00
IolosLute		13		13		1.00
CeleryCrop		1		1		1.00
BagOfNecromancerReagents		1		1		1.00
MountItem		3212		3212		1.00
Gold		423		33914		80.17
GoldRing		1		1		1.00
BlueberryCrop		1		1		1.00
LightSource		3964		3964		1.00
PeanutCrop		1		1		1.00
PinkCarnationCrop		1		1		1.00
LadderController		1		1		1.00
RuneLibraryGraveYardsFelucca		1		1		1.00
DeathMawDragonToken		3		3		1.00
CyclingDyetub		3		3		1.00
Kindling		12		12		1.00
MetalBox		1		1		1.00
DeathMawUnholyToken		2		2		1.00
DandelionCrop		4		4		1.00
SpiritRoseCrop		1		1		1.00
RuneLibraryTMapsFelucca		4		4		1.00
EffectItem		30		30		1.00
PreferencesController		1		1		1.00
BrineShrimp		1		1		1.00
SaveItemPack		81		81		1.00
DisguisePersistance		1		1		1.00
AnvilComponent		1		1		1.00
SweetPotatoCrop		1		1		1.00
PhillipsWoodenSteed		12		12		1.00
JacobsPickaxe		1		1		1.00
AlchemyPot		1		1		1.00
LordBritishCostume		1		1		1.00
ToolbarInfos		1		1		1.00
RuneLibraryTMapsTrammel		3		3		1.00
WheatCrop		1		1		1.00
LeafChest		1		1		1.00
Daat99Tokens		1		1		1.00
MummyWrapping		2		2		1.00
RuneLibraryDungeonsFelucca		1		1		1.00
MiniOrangeCrop		1		1		1.00
GwennosHarp		11		11		1.00
HealingFairyJar		1		1		1.00
EtherealCuSidhe		1		1		1.00
RuneLibraryDungeonsTrammel		1		1		1.00
RideablePolarBear		1		1		1.00
FieldCornCrop		1		1		1.00
AddonComponent		33		33		1.00
RewardScroll		1		1		1.00
BagOfTheFeyWing		2		2		1.00
